Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Engagement_Score
TikTok,#Challenge,Video,UK,4163464,339431,53135,19346,Medium,0.09893492534101411
Instagram,#Education,Shorts,India,4155940,215240,65860,27239,Medium,0.07419236081367873
Twitter,#Challenge,Video,Brazil,3666211,327143,39423,36223,High,0.10986519870242056
YouTube,#Education,Shorts,Australia,917951,127125,11687,36806,High,0.1913152227079659
TikTok,#Dance,Post,Brazil,64866,171361,69581,6376,High,3.8127524434989053
Instagram,#Challenge,Shorts,Australia,1323566,136282,86979,47129,High,0.2042890192102245
YouTube,#Comedy,Tweet,Japan,627233,84121,97973,32648,High,0.342364001894033
YouTube,#Gaming,Shorts,UK,2066886,317502,45222,33638,High,0.19176771239439427
Twitter,#Education,Live Stream,India,2169523,496078,96041,30174,High,0.2868340183533431
TikTok,#Gaming,Shorts,India,3898384,8634,69378,42700,Low,0.03096462534219307
Instagram,#Comedy,Live Stream,Germany,4070332,379894,46012,25242,High,0.11083813310560416
Twitter,#Music,Reel,Australia,4585669,465871,69083,8999,High,0.11862020568863561
YouTube,#Viral,Shorts,Canada,4105651,195560,37627,49089,Medium,0.06875304306186765
YouTube,#Fitness,Reel,Japan,1633015,312907,45774,30725,High,0.23845831177300883
Twitter,#Comedy,Post,Germany,2471790,370802,54110,17081,High,0.17881494787178523
YouTube,#Gaming,Live Stream,Canada,3079923,124237,44062,26702,Medium,0.06331359582690865
Twitter,#Dance,Reel,UK,294870,213142,20351,20767,High,0.8622782921287347
TikTok,#Tech,Shorts,UK,2051091,24472,54704,41737,Medium,0.05895057800945935
TikTok,#Fashion,Post,USA,3461154,165335,50077,19505,Medium,0.06787244947783312
YouTube,#Education,Tweet,UK,3143932,298685,84720,37162,High,0.13377102303739394
Twitter,#Gaming,Video,Brazil,14095,268310,90495,16968,High,26.660021284143312
TikTok,#Viral,Live Stream,USA,3924406,35376,72832,3949,Low,0.02857935697784582
YouTube,#Dance,Shorts,Brazil,599766,223690,22531,10538,High,0.42809862513046754
