Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level
Post_1,tiktok,#challenge,video,uk,4163464,339431,53135,19346,high
Post_2,instagram,#education,shorts,india,4155940,215240,65860,27239,medium
Post_3,twitter,#challenge,video,brazil,3666211,327143,39423,36223,medium
Post_4,youtube,#education,shorts,australia,917951,127125,11687,36806,low
Post_5,tiktok,#dance,post,brazil,64866,171361,69581,6376,medium
Post_6,instagram,#challenge,shorts,australia,1323566,136282,86979,47129,low
Post_7,youtube,#comedy,tweet,japan,627233,84121,97973,32648,medium
Post_8,youtube,#gaming,shorts,uk,2066886,317502,45222,33638,high
Post_9,twitter,#education,live stream,india,2169523,496078,96041,30174,medium
Post_10,tiktok,#gaming,shorts,india,3898384,8634,69378,42700,low
Post_11,instagram,#comedy,live stream,germany,4070332,379894,46012,25242,high
Post_12,twitter,#music,reel,australia,4585669,465871,69083,8999,medium
Post_13,youtube,#viral,shorts,canada,4105651,195560,37627,49089,high
Post_14,youtube,#fitness,reel,japan,1633015,312907,45774,30725,high
Post_15,twitter,#comedy,post,germany,2471790,370802,54110,17081,high
Post_16,youtube,#gaming,live stream,canada,3079923,124237,44062,26702,medium
Post_17,twitter,#dance,reel,uk,294870,213142,20351,20767,low
Post_18,tiktok,#tech,shorts,uk,2051091,24472,54704,41737,medium
Post_19,tiktok,#fashion,post,usa,3461154,165335,50077,19505,low
Post_20,youtube,#education,tweet,uk,3143932,298685,84720,37162,low
Post_21,twitter,#gaming,video,brazil,14095,268310,90495,16968,low
Post_22,tiktok,#viral,live stream,usa,3924406,35376,72832,3949,medium
Post_23,youtube,#dance,shorts,brazil,599766,223690,22531,10538,low
Post_24,twitter,#education,shorts,japan,4357851,449803,63438,28280,high
Post_25,youtube,#dance,tweet,germany,731492,474649,98377,3654,high
Post_26,youtube,#dance,live stream,brazil,4910814,197287,53218,14896,low
Post_27,instagram,#gaming,video,india,4369260,212278,21264,18172,low
Post_28,youtube,#tech,post,canada,1874437,322601,35671,48768,medium
Post_29,instagram,#gaming,live stream,canada,1653907,91836,77370,2823,low
Post_30,youtube,#education,shorts,japan,4683280,311330,3357,5110,medium
Post_31,instagram,#comedy,reel,australia,1365655,156164,84930,18303,low
Post_32,twitter,#music,video,usa,2342195,91944,89578,44440,medium
