Post_ID,Platform,Hashtag,Content_Type,Views,Likes,Shares,Comments,Engagement_Level
Post_1728,YouTube,#Gaming,Post,2592310,268149,6000,28800,High
Post_33,YouTube,#Gaming,Live Stream,4977438,8731,4500,46045,Low
Post_4225,TikTok,#Gaming,Shorts,305543,409163,48642,44973,High
Post_79,Instagram,#Challenge,Reel,4219632,171996,5043,3436,Medium
Post_2517,TikTok,#Dance,Shorts,2875732,138204,72909,42115,Medium
Post_1749,YouTube,#Tech,Live Stream,502571,222460,43807,47455,High
Post_169,YouTube,#Viral,Reel,2946297,223304,83502,10855,Low
Post_1837,Twitter,#Music,Reel,4838364,341314,61,13939,Medium
Post_3581,YouTube,#Fitness,Video,3227162,30996,42925,10029,High
Post_4879,Twitter,#Dance,Video,1972213,314092,79807,25783,Medium
Post_2525,Twitter,#Comedy,Live Stream,3357438,35821,87391,33823,Low
Post_4076,Twitter,#Gaming,Video,2008812,332179,99793,24661,High
Post_4914,YouTube,#Tech,Live Stream,3524558,252839,70790,24139,Low
Post_3024,Twitter,#Dance,Post,3697978,69386,12584,32219,Low
Post_2649,Twitter,#Gaming,Post,4286813,286139,99445,10512,Low
Post_659,Instagram,#Fashion,Post,2231843,28171,73427,16948,Medium
Post_3754,YouTube,#Tech,Shorts,1039646,140978,27325,15958,High
Post_3288,Twitter,#Education,Reel,3689048,104981,20957,19365,Low
Post_928,TikTok,#Tech,Reel,1342285,474723,90043,13175,Low
Post_1494,YouTube,#Gaming,Tweet,3416751,64162,48379,32333,High
Post_908,TikTok,#Music,Tweet,2669756,229127,77357,49206,Low
Post_4219,Twitter,#Fashion,Live Stream,380026,214887,36187,17636,High
Post_4173,YouTube,#Dance,Post,4032655,267123,41713,12391,Low
Post_3511,Instagram,#Fashion,Tweet,884253,386330,81443,9032,Low
Post_1288,TikTok,#Tech,Tweet,1622096,119815,41769,1529,Medium
Post_2728,Twitter,#Gaming,Tweet,1942872,108781,71823,49737,Medium
Post_2438,TikTok,#Music,Tweet,2816495,370066,79854,29476,High
Post_2685,Instagram,#Tech,Video,1121577,171196,50556,19092,Medium
Post_715,Twitter,#Music,Shorts,3590997,212084,3612,14460,High
Post_683,Instagram,#Music,Reel,2754301,439047,21451,5036,High
Post_2697,TikTok,#Music,Reel,569180,209463,31428,22627,High
Post_1265,Instagram,#Dance,Tweet,2213124,480760,63167,20082,High
Post_4836,Twitter,#Music,Reel,1935131,174376,30273,31178,High
Post_3682,Twitter,#Education,Post,474838,45882,60806,27585,Low
Post_3219,YouTube,#Education,Post,3601578,471857,28736,45781,Medium
Post_494,TikTok,#Dance,Post,797705,102013,63301,3932,Low
Post_1942,TikTok,#Music,Tweet,800884,357032,15074,42750,Medium
Post_172,Instagram,#Education,Live Stream,4709770,389553,55435,16799,Medium
Post_587,Instagram,#Education,Post,3839951,182675,74863,44718,High
Post_3041,Instagram,#Comedy,Video,1731012,250378,88088,45704,Medium
Post_2032,TikTok,#Viral,Tweet,2626467,221699,85669,26740,Low
Post_1736,YouTube,#Dance,Post,770227,299966,67551,7360,High
Post_4090,Instagram,#Music,Shorts,363718,418876,29054,29280,Low
Post_4723,Twitter,#Gaming,Shorts,3399161,424575,33841,15840,Low
Post_352,YouTube,#Fashion,Post,4443444,329468,67869,13843,Medium
Post_3016,TikTok,#Gaming,Live Stream,3808549,100605,35524,44184,Low
Post_818,YouTube,#Viral,Reel,1125942,95092,77009,32628,High
Post_884,YouTube,#Challenge,Shorts,3458941,367246,48482,38137,Low
Post_3367,Instagram,#Gaming,Post,1252622,38532,98666,12777,Low
Post_146,Instagram,#Education,Reel,964498,194879,76029,34998,High
Post_239,YouTube,#Comedy,Post,869375,123390,59716,46989,Low
Post_3073,YouTube,#Education,Shorts,1690004,87806,17483,2879,High
Post_4825,YouTube,#Education,Reel,1574314,3015,28109,12708,High
Post_1251,YouTube,#Challenge,Live Stream,4251376,37945,3378,26696,Low
Post_334,TikTok,#Comedy,Post,2847461,439633,17966,47276,Medium
Post_45,Twitter,#Comedy,Shorts,3934142,380972,42858,26194,Low
Post_1688,Twitter,#Fitness,Live Stream,3343066,210608,21075,3469,High
Post_3344,TikTok,#Music,Live Stream,4335992,62946,46878,853,Low
Post_1015,Instagram,#Dance,Live Stream,251154,309987,21850,21949,Low
Post_3137,YouTube,#Dance,Shorts,2664292,168521,48709,898,Medium
Post_1040,YouTube,#Tech,Post,3462645,247106,97876,38689,Low
Post_876,YouTube,#Fitness,Post,777206,279969,17264,9519,High
